Woord;Positive;Negative;Trust;Surprise;Joy;Sadness;Fear;Disgust;Anger;Anticipation
aambeeld;0;0;0;0;0;0;0;0;0;0
aan boord;0;0;0;0;0;0;0;0;0;0
aanbestedende;0;0;0;0;0;0;0;0;0;0
aanbevelenswaardig;1;0;1;0;1;0;0;0;0;0
aanbiddelijk;1;0;0;0;1;0;0;0;0;0
aanbidden;1;0;1;0;1;0;0;0;0;1
aanbidder;0;0;0;0;0;0;0;0;0;0
aanbidding;1;0;1;0;1;0;1;0;0;1
aanbod;1;0;0;0;0;0;0;0;0;0
aanbreken van de dag;0;0;0;0;0;0;0;0;0;0
aandacht;1;0;0;0;0;0;0;0;0;0
aandachtig;1;0;1;0;0;0;0;0;0;0
aandeel;1;0;1;0;1;0;0;0;0;1
aandenken;1;0;0;0;0;0;0;0;0;0
aanduiden;0;0;0;0;0;0;0;0;0;0
aaneenschakeling;0;0;0;0;0;0;0;0;0;0
aangeboden;0;0;0;0;0;0;0;0;0;0
aangeboren;0;0;0;0;0;0;0;0;0;0
aangebraden;0;0;0;0;0;0;0;0;0;0
aangeeft;0;0;0;0;0;0;0;0;0;0
aangemeerd;0;1;0;0;0;0;0;0;0;0
aangenaam;1;0;1;1;1;0;0;0;0;1
aangesloten;1;0;0;0;0;0;0;0;0;0
aangrenzend;0;0;0;0;0;0;0;0;0;0
aangrenzende;0;0;0;0;0;0;0;0;0;0
aanhangen;0;0;0;0;0;0;0;0;0;0
aanhanger;0;0;0;0;0;0;0;0;0;0
aanhangsel;0;0;0;0;0;0;0;0;0;0
aanhankelijkheid;0;0;0;0;0;0;0;0;0;0
aanhorigheden;0;0;0;0;0;0;0;0;0;0
aanhoudend;0;0;0;0;0;0;0;0;0;0
aanhouding;0;1;0;0;0;0;1;0;0;0
aanklacht;0;1;0;0;0;1;1;1;1;0
aanklager;0;1;0;0;0;0;1;0;1;0
aankomen;0;0;0;0;0;0;0;0;0;1
aankomst;0;0;0;0;0;0;0;0;0;1
aankondigen;0;0;0;0;0;0;0;0;0;0
aankondiging;0;0;0;0;0;0;0;0;0;1
aankoop;0;0;0;0;0;0;0;0;0;0
aanleg;0;0;0;0;0;0;0;0;0;0
aanlokkelijk;1;0;0;0;0;0;0;0;0;0
aanlokken;1;0;0;1;1;0;0;0;0;1
aanmoedigen;1;0;1;0;1;0;0;0;0;0
aanmoediging;1;0;0;0;0;0;0;0;0;0
aanpakken;0;0;0;1;0;0;0;0;1;0
aanpasbaar;1;0;0;0;0;0;0;0;0;0
aanpassen;1;0;0;0;0;0;0;0;0;0
aanpassing;0;0;0;0;0;0;0;0;0;0
aanraken;0;0;0;0;0;0;0;0;0;0
aanschouwen;0;0;0;0;0;0;0;0;0;0
aanschouwer;0;0;0;0;0;0;0;0;0;0
aanslag;0;0;1;1;0;0;0;0;0;0
aansluiten;0;0;0;0;0;0;0;0;0;0
aansluiting;0;0;0;0;0;0;0;0;0;0
aansporen;0;0;0;0;0;0;0;0;0;0
aansprakelijk;0;0;1;0;0;0;0;0;0;0
aanstaande;0;0;0;0;0;0;0;0;0;0
aanstonds;0;0;0;0;0;0;0;0;0;0
aantal;0;0;0;0;0;0;0;0;0;0
aantekening;0;0;0;0;0;0;0;0;0;0
aantrekkelijkheid;1;0;0;0;0;0;0;0;0;0
aanvaardbaar;1;0;0;0;0;0;0;0;0;0
aanvaarden;0;0;0;0;0;0;0;0;0;0
aanvaarding;1;0;0;0;0;0;0;0;0;0
aanval;0;1;0;0;0;0;1;0;1;0
aanvallende;0;1;0;1;0;1;1;1;1;0
aanvaller;0;1;0;0;0;1;1;0;1;0
aanvangen;0;0;0;0;0;0;0;0;0;0
aanvoeren;0;1;0;0;0;0;0;0;0;0
aanvrager;0;0;0;0;0;0;0;0;0;1
aanvullend;0;0;0;0;0;0;0;0;0;0
aanwas;0;0;0;0;0;0;0;0;0;0
aanwerven;0;0;0;0;0;0;0;0;0;0
aanwezig;1;0;1;1;1;0;0;0;0;1
aanwezigheid;1;0;0;0;0;0;0;0;0;0
aanwijzen;0;0;0;0;0;0;0;0;0;0
aanwijzend;1;0;0;0;1;1;0;0;0;0
aanwijzing;0;0;0;0;0;0;0;0;0;1
aanzienlijk;1;0;0;0;0;0;0;0;0;0
aap;0;0;0;0;0;0;0;0;0;0
aardbeving;0;1;0;1;0;1;1;0;1;0
aarde;0;0;0;0;0;0;0;0;0;0
aardewerk;0;0;0;0;0;0;0;0;0;0
aardmannetje;0;1;0;0;0;0;1;1;0;0
aards;0;0;0;0;0;0;0;0;0;0
aardsgezind;0;0;0;0;0;0;0;0;0;0
aartsbisschop;0;0;0;0;0;0;0;0;0;0
aarzeling;0;1;0;0;0;0;1;0;0;0
aas;1;1;1;0;0;0;1;0;0;0
abacus;0;0;1;0;0;0;0;0;0;0
abba;1;0;0;0;0;0;0;0;0;0
abces;0;1;0;0;0;1;0;0;0;0
abdominaal;0;0;0;0;0;0;0;0;0;0
aberratie;0;1;0;0;0;0;0;1;0;0
abnormaal;0;1;0;0;0;0;0;1;0;0
abonneren;0;0;0;0;0;0;0;0;0;1
abortus;0;1;0;0;0;1;1;1;0;0
abrupt;0;0;0;1;0;0;0;0;0;0
absenteïsme;0;1;0;0;0;0;0;0;0;0
absint;0;0;0;0;0;0;0;0;0;0
absolutie;1;0;1;0;1;0;0;0;0;0
absoluut;1;0;0;0;0;0;0;0;0;0
absorbens;0;0;0;0;0;0;0;0;0;0
absorberen;0;0;0;0;0;0;0;0;0;0
absorptie;0;0;0;0;0;0;0;0;0;0
abstract;0;0;0;0;0;0;0;0;0;0
abstractie;0;0;0;0;0;0;0;0;0;0
absurd;0;1;0;0;0;0;0;0;0;0
absurditeit;0;1;0;0;0;0;0;0;0;0
abt;0;0;1;0;0;0;0;0;0;0
aby;0;0;0;0;0;0;0;0;0;0
academie;1;0;0;0;0;0;0;0;0;0
academische;1;0;1;0;0;0;0;0;0;0
acceleratie;0;0;0;0;0;0;0;0;0;0
accent;0;0;0;0;0;0;0;0;0;0
accentueren;0;0;0;0;0;0;0;0;0;0
accijns;0;1;0;0;0;0;0;0;0;0
accolade;1;0;1;1;1;0;0;0;0;1
accommoderen;0;0;0;0;0;0;0;0;0;0
accomodatie;1;0;0;0;0;0;0;0;0;0
accordeon;0;0;0;0;0;0;0;0;0;0
accountant;0;0;1;0;0;0;0;0;0;0
accounting;0;0;0;0;0;0;0;0;0;0
accounts;0;0;1;0;0;0;0;0;0;0
accueil;1;0;0;0;0;0;0;0;0;0
accumuleren;0;0;0;0;0;0;0;0;0;0
accuraat;1;0;1;0;0;0;0;0;0;0
accusatief;0;1;0;0;0;0;0;0;0;0
achterdochtig;0;1;0;0;0;0;0;0;1;1
achtergrond;0;0;0;0;0;0;0;0;0;0
achterstallig;0;1;0;1;0;1;0;0;0;1
achterstand;0;1;0;0;0;0;0;0;0;0
achterste;0;1;0;0;0;1;0;1;0;0
achteruit;0;1;0;0;0;0;0;1;0;0
achteruitgaan;0;1;0;0;0;1;1;0;0;0
achteruitgang;0;1;0;0;0;1;1;1;1;0
achtervoegsel;0;0;0;0;0;0;0;0;0;0
achtervolgen;0;1;0;0;0;0;0;0;0;0
achterwaarts;0;1;0;0;0;0;0;0;0;0
achting;1;0;1;0;1;1;0;0;0;0
achtste;0;0;0;0;0;0;0;0;0;0
acquisitie;0;0;0;0;0;0;0;0;0;0
acres;0;0;0;0;0;0;0;0;0;0
acrobaat;1;0;1;0;1;0;1;0;0;0
acteur;0;0;0;0;0;0;0;0;0;0
actie;1;0;0;0;0;0;0;0;0;0
actief;0;0;0;0;0;0;0;0;0;0
actiegericht;0;1;0;0;0;0;0;1;1;0
activa;1;0;0;0;0;0;0;0;0;0
activiteit;0;0;0;0;0;0;0;0;0;0
actualiteit;0;0;0;0;0;0;0;0;0;0
actuaris;0;0;0;0;0;0;0;0;0;0
acupunctuur;0;0;0;0;0;0;0;0;0;0
acuut;0;0;0;0;0;0;0;0;0;0
adder;0;1;0;0;0;1;1;1;1;0
adelaar;0;0;1;0;0;0;0;0;0;0
adem;0;0;0;0;0;0;0;0;0;0
adhesie;0;0;0;0;0;0;0;0;0;0
adieu;0;0;0;0;0;0;0;0;0;0
adjectief;0;0;0;0;0;0;0;0;0;0
adjuvant;0;0;0;0;0;0;0;0;0;0
administratie;0;0;0;0;0;0;0;0;0;0
administratief;0;0;1;0;0;0;0;0;0;0
admiraal;1;0;1;0;0;0;0;0;0;0
admiraliteit;0;0;0;0;0;0;0;0;0;0
adobe;0;0;0;0;0;0;0;0;0;0
adolescentie;0;0;0;0;0;0;0;0;0;0
adopteren;0;0;0;0;0;0;0;0;0;0
adoptie;0;0;0;0;0;0;0;0;0;0
adres;0;0;0;0;0;0;0;0;0;0
adressen;1;0;0;0;0;0;0;0;0;1
advent;1;0;1;0;1;0;0;0;0;1
advertentie;0;0;0;0;0;0;0;0;0;0
adverteren;0;0;0;0;0;0;0;0;0;0
advies;0;0;1;0;0;0;0;0;0;0
adviseerde;0;0;1;0;0;0;0;0;0;0
advisement;0;0;0;0;0;0;0;0;0;0
adviseren;1;0;1;0;0;0;0;0;0;0
advocaat;0;1;0;0;0;0;1;1;1;0
aegis;0;0;0;0;0;0;0;0;0;0
aërodynamica;0;0;0;0;0;0;0;0;0;0
aesthetisch;1;0;0;0;0;0;0;0;0;0
af te schermen;0;1;0;0;0;1;1;0;0;0
afbeelding;0;0;0;0;0;0;0;0;0;0
afbreken;0;1;0;0;0;0;0;0;0;0
afbreuk;0;1;0;0;0;1;1;1;1;0
afbrokkelende;0;1;0;0;0;1;0;0;0;0
afbuiging;0;0;0;0;0;0;0;0;0;0
afdalen;0;0;0;0;0;0;0;0;0;0
afdaling;0;0;0;0;0;1;1;0;0;0
afdeling;0;0;0;0;0;0;0;0;0;0
afdichtingen;0;0;1;0;0;0;0;0;0;0
afdracht;0;0;0;0;0;0;0;0;0;0
afdruk;0;0;0;0;0;0;0;0;0;0
afdwalen;0;1;0;0;0;0;0;0;0;1
afdwingen;1;1;0;0;0;0;1;0;1;0
affaire;0;0;0;0;0;0;0;0;0;0
affakkelen;0;0;0;0;0;0;0;0;0;0
affiche;0;0;0;0;0;0;0;0;0;0
affiniteit;0;0;0;0;0;0;0;0;0;0
afgekeurd;0;1;0;0;0;1;1;1;1;0
afgelegen;0;0;0;0;0;0;0;0;0;0
afgeleide;0;0;0;0;0;0;0;0;0;0
afgemeten;1;0;1;0;0;0;0;0;0;0
afgeschreven;0;1;0;0;0;1;1;1;1;0
afgesproken;1;0;1;0;0;0;0;0;0;0
afgestoten;0;1;0;0;0;0;0;0;0;0
afgevaardigde;1;0;1;0;0;0;0;0;0;0
afgrijselijk;0;1;0;0;0;0;1;1;1;0
afgrond;0;1;0;0;0;1;1;0;0;0
afhangen;0;0;1;0;0;0;0;0;0;1
afhankelijk;1;1;1;0;0;0;0;0;0;0
afhankelijkheid;0;1;0;0;0;1;1;0;0;0
afkeer;0;1;0;0;0;0;0;1;1;0
afkerig;0;1;0;0;0;0;1;1;1;0
afkeuren;0;1;0;0;0;1;1;1;1;0
afkeurende;0;1;0;0;0;1;0;1;1;0
afkeuring;0;1;0;0;0;1;0;0;0;0
afkomst;0;0;0;0;0;0;0;0;0;0
afkorten;0;0;0;0;0;0;0;0;0;0
afkorting;0;0;0;0;0;0;0;0;0;0
afleiden;0;1;0;0;0;0;0;0;0;0
